From;To;Resources;tc_min;tc_max;c_exch_network
DE;CH;ELECTRICITY;0;10;15.33
DE;FR;ELECTRICITY;0;10;15.33
DK;BE;ELECTRICITY;0;10;15.33
DK;NL;ELECTRICITY;0;10;15.33
DK;SE;ELECTRICITY;0;10;15.33
DK;DE;ELECTRICITY;0;10;15.33
SE;DK;ELECTRICITY;0;10;15.33
SE;FI;ELECTRICITY;0;10;15.33
SE;EE;ELECTRICITY;0;10;15.33
SE;LV;ELECTRICITY;0;10;15.33
SE;LT;ELECTRICITY;0;10;15.33
SE;PL;ELECTRICITY;0;10;15.33
FI;SE;ELECTRICITY;0;10;15.33
FI;EE;ELECTRICITY;0;10;15.33
EE;FI;ELECTRICITY;0;10;15.33
EE;SE;ELECTRICITY;0;10;15.33
EE;LV;ELECTRICITY;0;10;15.33
LV;SE;ELECTRICITY;0;10;15.33
LV;EE;ELECTRICITY;0;10;15.33
LV;LT;ELECTRICITY;0;10;15.33
LT;SE;ELECTRICITY;0;10;15.33
LT;LV;ELECTRICITY;0;10;15.33
LT;PL;ELECTRICITY;0;10;15.33
PL;DE;ELECTRICITY;0;10;15.33
PL;SE;ELECTRICITY;0;10;15.33
PL;LT;ELECTRICITY;0;10;15.33
PL;SK;ELECTRICITY;0;10;15.33
PL;CZ;ELECTRICITY;0;10;15.33
CH;FR;ELECTRICITY;0;10;15.33
CH;DE;ELECTRICITY;0;10;15.33
CH;AT;ELECTRICITY;0;10;15.33
CH;IT;ELECTRICITY;0;10;15.33
IT;FR;ELECTRICITY;0;10;15.33
IT;CH;ELECTRICITY;0;10;15.33
IT;AT;ELECTRICITY;0;10;15.33
IT;SI;ELECTRICITY;0;10;15.33
IT;HR;ELECTRICITY;0;10;15.33
IT;GR;ELECTRICITY;0;10;15.33
CZ;DE;ELECTRICITY;0;10;15.33
CZ;PL;ELECTRICITY;0;10;15.33
CZ;SK;ELECTRICITY;0;10;15.33
CZ;AT;ELECTRICITY;0;10;15.33
AT;IT;ELECTRICITY;0;10;15.33
AT;CH;ELECTRICITY;0;10;15.33
AT;DE;ELECTRICITY;0;10;15.33
AT;CZ;ELECTRICITY;0;10;15.33
AT;SK;ELECTRICITY;0;10;15.33
AT;HU;ELECTRICITY;0;10;15.33
AT;SI;ELECTRICITY;0;10;15.33
SI;IT;ELECTRICITY;0;10;15.33
SI;AT;ELECTRICITY;0;10;15.33
SI;HU;ELECTRICITY;0;10;15.33
SI;HR;ELECTRICITY;0;10;15.33
SK;AT;ELECTRICITY;0;10;15.33
SK;CZ;ELECTRICITY;0;10;15.33
SK;PL;ELECTRICITY;0;10;15.33
SK;RO;ELECTRICITY;0;10;15.33
SK;HU;ELECTRICITY;0;10;15.33
HU;AT;ELECTRICITY;0;10;15.33
HU;SK;ELECTRICITY;0;10;15.33
HU;RO;ELECTRICITY;0;10;15.33
HU;HR;ELECTRICITY;0;10;15.33
HU;SI;ELECTRICITY;0;10;15.33
HR;IT;ELECTRICITY;0;10;15.33
HR;SI;ELECTRICITY;0;10;15.33
HR;HU;ELECTRICITY;0;10;15.33
HR;GR;ELECTRICITY;0;10;15.33
RO;SK;ELECTRICITY;0;10;15.33
RO;HU;ELECTRICITY;0;10;15.33
RO;BG;ELECTRICITY;0;10;15.33
BG;RO;ELECTRICITY;0;10;15.33
BG;GR;ELECTRICITY;0;10;15.33
GR;IT;ELECTRICITY;0;10;15.33
GR;HR;ELECTRICITY;0;10;15.33
GR;BG;ELECTRICITY;0;10;15.33
PT;ES;GAS;0;60;0.541
ES;PT;GAS;0;60;0.541
ES;FR;GAS;0;60;0.541
FR;ES;GAS;0;60;0.541
FR;GB;GAS;0;60;0.541
FR;BE;GAS;0;60;0.541
FR;LU;GAS;0;60;0.541
FR;DE;GAS;0;60;0.541
FR;CH;GAS;0;60;0.541
FR;IT;GAS;0;60;0.541
GB;IE;GAS;0;60;0.541
GB;BE;GAS;0;60;0.541
GB;NL;GAS;0;60;0.541
GB;DK;GAS;0;60;0.541
IE;GB;GAS;0;60;0.541
BE;FR;GAS;0;60;0.541
BE;GB;GAS;0;60;0.541
BE;NL;GAS;0;60;0.541
BE;DK;GAS;0;60;0.541
BE;LU;GAS;0;60;0.541
BE;DE;GAS;0;60;0.541
NL;GB;GAS;0;60;0.541
NL;DK;GAS;0;60;0.541
NL;BE;GAS;0;60;0.541
NL;DE;GAS;0;60;0.541
LU;FR;GAS;0;60;0.541
LU;BE;GAS;0;60;0.541
LU;DE;GAS;0;60;0.541
DE;LU;GAS;0;60;0.541
DE;BE;GAS;0;60;0.541
DE;NL;GAS;0;60;0.541
DE;DK;GAS;0;60;0.541
DE;SE;GAS;0;60;0.541
DE;PL;GAS;0;60;0.541
DE;CZ;GAS;0;60;0.541
DE;AT;GAS;0;60;0.541
DE;CH;GAS;0;60;0.541
DE;FR;GAS;0;60;0.541
DK;BE;GAS;0;60;0.541
DK;NL;GAS;0;60;0.541
DK;SE;GAS;0;60;0.541
DK;DE;GAS;0;60;0.541
SE;DK;GAS;0;60;0.541
SE;FI;GAS;0;60;0.541
SE;EE;GAS;0;60;0.541
SE;LV;GAS;0;60;0.541
SE;LT;GAS;0;60;0.541
SE;PL;GAS;0;60;0.541
FI;SE;GAS;0;60;0.541
FI;EE;GAS;0;60;0.541
EE;FI;GAS;0;60;0.541
EE;SE;GAS;0;60;0.541
EE;LV;GAS;0;60;0.541
LV;SE;GAS;0;60;0.541
LV;EE;GAS;0;60;0.541
LV;LT;GAS;0;60;0.541
LT;SE;GAS;0;60;0.541
LT;LV;GAS;0;60;0.541
LT;PL;GAS;0;60;0.541
PL;DE;GAS;0;60;0.541
PL;SE;GAS;0;60;0.541
PL;LT;GAS;0;60;0.541
PL;SK;GAS;0;60;0.541
PL;CZ;GAS;0;60;0.541
CH;FR;GAS;0;60;0.541
CH;DE;GAS;0;60;0.541
CH;AT;GAS;0;60;0.541
CH;IT;GAS;0;60;0.541
IT;FR;GAS;0;60;0.541
IT;CH;GAS;0;60;0.541
IT;AT;GAS;0;60;0.541
IT;SI;GAS;0;60;0.541
IT;HR;GAS;0;60;0.541
IT;GR;GAS;0;60;0.541
CZ;DE;GAS;0;60;0.541
CZ;PL;GAS;0;60;0.541
CZ;SK;GAS;0;60;0.541
CZ;AT;GAS;0;60;0.541
AT;IT;GAS;0;60;0.541
AT;CH;GAS;0;60;0.541
AT;DE;GAS;0;60;0.541
AT;CZ;GAS;0;60;0.541
AT;SK;GAS;0;60;0.541
AT;HU;GAS;0;60;0.541
AT;SI;GAS;0;60;0.541
SI;IT;GAS;0;60;0.541
SI;AT;GAS;0;60;0.541
SI;HU;GAS;0;60;0.541
SI;HR;GAS;0;60;0.541
SK;AT;GAS;0;60;0.541
SK;CZ;GAS;0;60;0.541
SK;PL;GAS;0;60;0.541
SK;RO;GAS;0;60;0.541
SK;HU;GAS;0;60;0.541
HU;AT;GAS;0;60;0.541
HU;SK;GAS;0;60;0.541
HU;RO;GAS;0;60;0.541
HU;HR;GAS;0;60;0.541
HU;SI;GAS;0;60;0.541
HR;IT;GAS;0;60;0.541
HR;SI;GAS;0;60;0.541
HR;HU;GAS;0;60;0.541
HR;GR;GAS;0;60;0.541
RO;SK;GAS;0;60;0.541
RO;HU;GAS;0;60;0.541
RO;BG;GAS;0;60;0.541
BG;RO;GAS;0;60;0.541
BG;GR;GAS;0;60;0.541
GR;IT;GAS;0;60;0.541
GR;HR;GAS;0;60;0.541
GR;BG;GAS;0;60;0.541
